,City,Country,Latitude,Longitude,Humidity,Cloudiness,Wind_Speed,Max_Temp_degF,Date
103,Lompoc,US,34.64,-120.46,54,1,5.7,286.15,2019-03-30
104,Kudardup,AU,-34.28,115.1,34,0,1.34,300.93,2019-03-30
105,Stoney Ground,AI,18.22,-63.03,83,0,1.0,297.15,2019-03-30
106,West Coast,NZ,-42.46,171.22,97,0,1.23,289.99,2019-03-30
107,Kashechewan,CA,52.3,-81.62,75,64,6.18,258.39,2019-03-30
108,Otara,NZ,-36.96,174.88,77,92,3.6,293.71,2019-03-30
109,Upanema,BR,-5.64,-37.26,98,80,2.08,296.09,2019-03-30
110,Rudnik,RS,44.14,20.5,41,0,1.0,284.15,2019-03-30
111,Zhigansk,RU,66.77,123.37,84,0,0.78,267.04,2019-03-30
112,San Jose del Cabo,MX,23.06,-109.7,37,5,3.43,293.71,2019-03-30
113,Osinovo,RU,62.87,42.79,73,0,6.03,275.64,2019-03-30
114,Kekaha,US,21.97,-159.71,60,1,5.7,295.15,2019-03-30
115,Kapaneewekamik Place,CA,53.98,-94.79,61,75,3.6,262.15,2019-03-30
116,El Quisco,CL,-33.4,-71.69,100,68,1.0,282.15,2019-03-30
117,Región de Magallanes y de la Antártica Chilena,CL,-52.5,-73.0,100,92,7.68,280.39,2019-03-30
118,Tsiombe,MG,-25.32,45.48,51,12,3.33,304.34,2019-03-30
119,Exmouth,GB,50.62,-3.41,100,90,1.0,282.04,2019-03-30
120,Fustiñana,ES,42.02,-1.49,65,0,3.6,283.15,2019-03-30
121,Akutan,US,54.14,-165.77,93,90,4.1,277.15,2019-03-30
122,Xinguan,CN,29.62,111.31,69,76,7.68,286.64,2019-03-30
123,Grande Anse,GP,16.3,-61.07,94,75,3.1,297.15,2019-03-30
124,Minami,JP,33.72,134.53,87,40,1.0,288.15,2019-03-30
125,Sinnamary,GF,5.38,-52.96,100,68,5.48,298.49,2019-03-30
126,Unalaska,US,53.87,-166.54,86,1,4.6,277.15,2019-03-30
127,Nele,ID,-8.68,122.21,100,64,0.98,301.29,2019-03-30
128,Bilma,NE,18.69,12.92,25,0,8.93,302.39,2019-03-30
129,Vila Velha,BR,-3.71,-38.6,94,75,3.1,298.15,2019-03-30
130,Portmagee,IE,51.89,-10.36,87,75,1.5,280.15,2019-03-30
131,Depoe Bay,US,44.81,-124.06,93,40,1.5,281.48,2019-03-30
132,Nazaré,PT,39.6,-9.07,71,0,1.0,287.04,2019-03-30
133,L’Escalier,MU,-20.47,57.61,62,20,2.1,303.15,2019-03-30
134,Alice Springs,AU,-23.7,133.88,23,0,7.2,298.15,2019-03-30
135,Fare,PF,-16.7,-151.02,98,0,3.98,302.09,2019-03-30
136,Cartagena,ES,37.63,-1.0,66,20,4.1,286.15,2019-03-30
137,Kafue,ZM,-15.74,28.18,56,20,5.1,296.15,2019-03-30
138,Saint-Sulpice-de-Pommeray,FR,47.61,1.27,50,0,2.1,285.15,2019-03-30
139,Les Îles-de-la-Madeleine,CA,47.4,-61.8,98,8,8.23,271.34,2019-03-30
140,Bethel,US,60.79,-161.76,92,90,4.6,274.15,2019-03-30
141,Mariental,DE,52.28,10.99,62,0,1.5,285.93,2019-03-30
142,Saskylakh,RU,71.97,114.09,79,20,3.13,266.34,2019-03-30
143,Pevek,RU,69.7,170.27,66,36,1.43,254.99,2019-03-30
144,Long Bawan,MY,3.88,115.73,76,20,0.78,298.19,2019-03-30
145,Methoni,GR,36.82,21.7,33,20,5.1,288.71,2019-03-30
146,Hegang,CN,47.34,130.28,38,36,2.48,274.39,2019-03-30
147,La Barra,MX,30.64,-109.47,53,56,0.88,278.89,2019-03-30
148,Nova Vicosa,BR,-17.89,-39.37,96,88,4.38,297.04,2019-03-30
149,Aleutians West Census Area,US,52.24,-175.13,86,90,9.3,277.15,2019-03-30
150,Arctic Bay,CA,73.03,-85.17,49,12,5.73,245.74,2019-03-30
151,Chillagoe,AU,-17.15,144.52,93,88,1.33,298.04,2019-03-30
152,Sha‘bīyat Nālūt,LY,30.33,10.85,90,0,3.88,284.89,2019-03-30
153,Bumbaran,PH,8.0,124.29,71,0,2.68,300.93,2019-03-30
154,Ohonua,TO,-21.33,-174.95,94,40,2.6,298.15,2019-03-30
155,Sotouboua,TG,8.56,0.98,49,0,2.08,305.84,2019-03-30
156,Centinela del Mar,AR,-38.43,-58.22,97,0,1.34,292.04,2019-03-30
157,Fort Bragg,US,39.45,-123.81,81,1,1.48,280.93,2019-03-30
158,Okha,RU,53.59,142.95,80,0,3.93,263.84,2019-03-30
159,Waitangi,NZ,-35.27,174.08,89,92,5.03,292.59,2019-03-30
160,Port MacDonnell,AU,-38.05,140.7,67,90,8.2,287.15,2019-03-30
161,Jamaica,CU,20.19,-75.14,88,20,3.6,295.15,2019-03-30
162,Churchill,CA,58.77,-94.16,84,5,5.1,256.15,2019-03-30
163,Yallingup,AU,-33.65,115.03,77,0,2.23,297.74,2019-03-30
164,East Pilbara,AU,-21.61,123.71,17,0,4.83,309.49,2019-03-30
165,Kapustin Yar,RU,48.58,45.77,96,68,1.98,278.54,2019-03-30
166,Ahipara,NZ,-35.17,173.16,100,68,4.83,291.29,2019-03-30
167,Stewardson Inlet,CA,49.42,-126.32,91,36,1.33,279.82,2019-03-30
168,Edinburgh of the Seven Seas,SH,-37.07,-12.31,100,92,5.78,289.39,2019-03-30
169,Wainwright,CA,52.84,-110.86,77,0,4.03,267.89,2019-03-30
170,Pontes e Lacerda,BR,-15.23,-59.33,94,12,1.13,294.39,2019-03-30
171,Albany,US,42.65,-73.75,70,90,3.1,280.37,2019-03-30
172,Conche,IT,45.24,12.17,66,0,3.1,289.26,2019-03-30
173,El Abiodh Sidi Cheikh,DZ,32.9,0.55,86,24,5.38,283.19,2019-03-30
174,Muang Long,LA,20.96,100.82,42,20,1.0,302.15,2019-03-30
175,Sinjai,ID,-5.12,120.25,100,88,0.73,298.24,2019-03-30
176,Bol’shiye Mosty,RU,57.15,43.83,93,92,5.03,276.54,2019-03-30
177,Adamstown,AU,-32.94,151.73,40,0,10.8,293.15,2019-03-30
178,Millertown,CA,48.81,-56.54,90,92,0.89,274.26,2019-03-30
179,Gubkinskiy,RU,64.43,76.5,97,92,5.88,274.74,2019-03-30
180,Sachs Harbour,CA,71.98,-125.25,85,64,9.48,263.24,2019-03-30
181,Anua,NG,5.03,7.97,64,68,2.93,304.74,2019-03-30
182,Aguanish,CA,50.22,-62.09,52,90,7.2,266.15,2019-03-30
183,Talcahuano,CL,-36.72,-73.12,93,0,2.6,282.15,2019-03-30
184,Rudnogorsk,RU,57.27,103.75,57,32,1.63,274.04,2019-03-30
185,Encinedo,ES,42.27,-6.59,99,0,1.63,284.26,2019-03-30
186,Niue,NU,-19.03,-169.87,94,100,1.0,298.15,2019-03-30
187,Laiwui,ID,-1.35,127.67,100,56,2.33,301.69,2019-03-30
188,Sierra Colorada,AR,-40.59,-67.76,46,0,4.33,285.49,2019-03-30
189,Palana,RU,59.08,159.95,79,36,1.03,265.89,2019-03-30
190,Catanduvas,BR,-27.07,-51.66,88,8,1.98,288.44,2019-03-30
191,Upernavik,GL,72.79,-56.15,100,68,2.33,260.94,2019-03-30
192,Vostok,RU,46.45,135.83,74,8,0.83,271.74,2019-03-30
193,Peniche (Conceição),PT,39.36,-9.39,71,0,1.0,287.04,2019-03-30
194,Haukivuori,FI,62.03,27.2,56,0,8.2,278.71,2019-03-30
195,Port Elizabeth Airport,ZA,-33.98,25.61,64,20,9.8,297.15,2019-03-30
196,Republic of Seychelles,SC,-4.58,55.67,70,75,3.6,304.15,2019-03-30
197,Mamara,ID,-0.91,119.92,81,76,0.68,295.79,2019-03-30
198,Barra de Santo Antonio,BR,-9.4,-35.51,88,40,2.1,298.15,2019-03-30
199,Chipyela,MW,-12.07,34.74,100,8,1.63,300.34,2019-03-30
200,Newman,US,37.31,-121.02,76,1,4.6,284.15,2019-03-30
201,Lailunggi,ID,-10.17,120.12,99,48,2.63,301.09,2019-03-30
202,Georgetown,GY,6.8,-58.16,100,20,1.0,295.15,2019-03-30
203,Western Division,FJ,-18.0,177.5,88,40,2.6,301.15,2019-03-30
204,Puerto Villamil,EC,-0.96,-90.97,96,0,3.73,298.14,2019-03-30
205,Sarikei,MY,2.13,111.52,83,75,6.2,301.15,2019-03-30
206,Dolinsk,RU,47.32,142.8,75,0,5.0,273.15,2019-03-30
207,Novyye Plity,RU,54.49,99.0,38,20,1.78,277.99,2019-03-30
208,Estado de Baja California,MX,30.0,-115.0,59,80,0.93,281.19,2019-03-30
209,Santa Rosa,AR,-36.62,-64.29,85,0,3.33,288.84,2019-03-30
210,Streaky Bay,AU,-32.8,134.21,74,80,5.38,290.64,2019-03-30
211,Huye,RW,-2.61,29.74,73,8,1.63,298.74,2019-03-30
212,Meybod,IR,32.25,54.02,14,40,2.1,294.15,2019-03-30
213,Novyy Nekouz,RU,57.91,38.06,94,36,4.23,276.34,2019-03-30
214,Acopiara,BR,-6.09,-39.45,98,92,1.53,294.49,2019-03-30
215,Kilauea,US,22.21,-159.41,68,90,1.5,294.15,2019-03-30
216,Banda Aceh,ID,5.56,95.32,100,88,1.33,298.04,2019-03-30
217,Tiksi,RU,71.64,128.87,68,32,6.28,267.49,2019-03-30
218,Teriberka,RU,69.16,35.15,70,32,6.73,273.14,2019-03-30
219,Maradi,NE,13.5,7.1,16,0,3.1,299.15,2019-03-30
220,Cabo San Lucas,MX,22.89,-109.91,37,5,3.43,293.71,2019-03-30
221,Tommot,RU,58.97,126.27,50,0,1.08,267.29,2019-03-30
222,Bluff,AU,-23.58,149.07,92,0,1.07,296.568,2019-03-30
223,Chuquicamata,CL,-22.32,-68.93,37,0,5.1,283.15,2019-03-30
224,Bonthe,SL,7.53,-12.5,74,32,1.22,302.068,2019-03-30
225,Jūrokuban,JP,30.6,130.98,68,20,7.7,291.15,2019-03-30
226,Agadez,NE,16.97,7.99,15,0,5.1,301.15,2019-03-30
227,London Village,US,39.07,-75.53,93,75,2.1,287.04,2019-03-30
228,Tha Tako,TH,15.64,100.48,41,32,1.87,314.26,2019-03-30
229,Zyryanka,RU,65.73,150.89,80,0,1.02,260.018,2019-03-30
230,Behbahan,IR,30.59,50.24,41,40,7.2,297.15,2019-03-30
231,Terra Nova,BR,-12.41,-38.62,74,20,5.1,302.15,2019-03-30
232,Rysum,DE,53.38,7.03,81,0,3.1,287.04,2019-03-30
233,Kefalonia,GR,38.12,20.5,37,20,6.2,288.15,2019-03-30
234,Northwest Territories,CA,69.5,-121.5,87,76,9.97,264.918,2019-03-30
235,La Barra de Navidad,MX,19.2,-104.68,100,0,0.87,287.318,2019-03-30
236,Fernando de Noronha (Distrito Estadual),BR,-3.84,-32.41,94,20,1.0,298.15,2019-03-30
237,Taoudenni,ML,22.68,-3.98,70,56,4.72,296.218,2019-03-30
238,Baijiantan,CN,45.63,85.18,56,0,2.47,292.618,2019-03-30
239,Barbers Point Housing,US,21.32,-158.08,73,1,3.1,296.15,2019-03-30
240,Qikiqtarjuaq,CA,67.56,-64.03,92,90,10.3,258.15,2019-03-30
241,Dundas,CA,43.26,-79.95,98,90,7.2,277.15,2019-03-30
242,Morombe,MG,-21.74,43.36,100,0,6.47,301.518,2019-03-30
243,Baykalovsk,RU,70.69,83.62,96,88,8.37,273.268,2019-03-30
244,Aral,KG,41.87,74.37,93,88,0.92,274.668,2019-03-30
245,Kamyaran,IR,34.8,46.94,44,75,5.1,288.15,2019-03-30
246,Hat Head,AU,-31.05,153.05,68,0,1.34,297.04,2019-03-30
247,Egvekinot,RU,66.32,-179.17,90,56,1.62,269.368,2019-03-30
248,Momote,PG,-2.07,147.42,98,80,4.77,301.918,2019-03-30
249,British Virgin Islands,VG,18.5,-64.5,86,12,0.89,297.04,2019-03-30
250,Houk,NE,13.81,9.26,11,0,4.1,303.15,2019-03-30
251,Brochet,CA,57.88,-101.67,71,0,4.32,261.218,2019-03-30
252,Kangin,ID,-8.83,115.13,74,20,5.7,304.15,2019-03-30
253,Bridgewater Corners,US,43.59,-72.66,93,90,0.88,277.04,2019-03-30
254,Severo-Kurilsk,RU,50.68,156.12,99,64,7.67,271.518,2019-03-30
255,Zhezqazghan,KZ,47.78,67.77,71,75,3.0,283.15,2019-03-30
256,Largeau,TD,17.93,19.1,27,5,11.8,299.15,2019-03-30
257,Cap Malheureux,MU,-19.98,57.61,62,20,2.1,303.15,2019-03-30
258,Saldanha,PT,41.42,-6.55,34,0,1.72,287.968,2019-03-30
259,Nunavut,CA,70.17,-90.73,51,0,4.37,245.568,2019-03-30
260,Senador Guiomard,BR,-10.15,-67.74,100,40,1.5,296.15,2019-03-30
261,Payson,US,40.04,-111.73,80,90,0.08,276.48,2019-03-30
262,Ofanleiti,IS,63.42,-20.29,100,0,2.67,271.518,2019-03-30
263,Bodens Kommun,SE,65.83,21.67,48,0,9.3,277.15,2019-03-30
264,Nosara,CR,9.98,-85.65,67,0,5.38,298.49,2019-03-30
265,Rawannawi Village,KI,2.05,173.26,100,92,5.82,301.268,2019-03-30
266,Salym,RU,60.06,71.48,74,24,4.37,278.018,2019-03-30
267,Camooweal,AU,-19.92,138.12,39,0,8.87,300.018,2019-03-30
268,Koton Karifi,NG,8.1,6.8,67,0,3.42,305.418,2019-03-30
269,Carutapera,BR,-1.2,-46.02,99,48,1.42,296.618,2019-03-30
270,San Juan,AR,-31.54,-68.53,76,0,1.42,286.368,2019-03-30
271,Sanchursk,RU,56.94,47.25,95,92,6.92,274.918,2019-03-30
272,Al Aquriyah,LY,32.53,20.58,95,56,8.37,287.318,2019-03-30
273,Soio,AO,-6.13,12.37,91,24,1.77,301.618,2019-03-30
274,Napug,CN,32.42,81.08,90,12,3.02,268.018,2019-03-30
275,Ittoqqortoormiit,GL,70.48,-21.96,90,0,2.07,256.118,2019-03-30
276,Sapanca,TR,40.69,30.27,39,20,7.2,281.15,2019-03-30
277,Hayma,OM,19.96,56.3,49,0,3.02,306.418,2019-03-30
278,Hidaybu,YE,12.5,54.01,68,0,1.62,303.418,2019-03-30
279,Carmel-by-the-Sea,US,36.56,-121.92,76,40,2.32,285.37,2019-03-30
280,La Paloma,UY,-32.73,-55.58,95,68,1.27,290.568,2019-03-30
281,Maracaju,BR,-21.61,-55.17,79,0,2.88,293.49,2019-03-30
282,Vila do Porto,PT,36.97,-25.1,67,75,2.6,287.15,2019-03-30
283,Deputatskiy,RU,69.3,139.9,76,0,1.22,259.968,2019-03-30
284,Territory of Cocos (Keeling) Islands,CC,-12.16,96.87,88,90,2.1,299.15,2019-03-30
285,Belo Horizonte,BR,-19.92,-43.95,82,0,3.6,291.15,2019-03-30
286,Tautira,PF,-17.73,-149.15,78,20,2.1,301.15,2019-03-30
287,Club Terrace,AU,-37.55,148.94,100,92,11.77,286.318,2019-03-30
288,Manus Province,PG,-2.0,147.0,98,92,4.12,301.418,2019-03-30
289,Koh Tao,TH,10.1,99.84,70,20,2.1,305.15,2019-03-30
290,Ujae Atoll,MH,9.08,165.63,98,64,10.72,301.018,2019-03-30
291,Bakanas,KZ,44.81,76.27,100,80,3.72,285.268,2019-03-30
292,Tatarskaya,RU,47.45,39.98,65,40,1.0,280.15,2019-03-30
293,Gwanda,ZW,-20.94,29.0,52,8,5.07,299.718,2019-03-30
294,Mitzic,GA,0.78,11.55,84,56,1.32,299.668,2019-03-30
295,Nantucket,US,41.28,-70.1,93,90,1.5,279.26,2019-03-30
296,Shikotan,RU,43.8,146.72,92,64,4.32,272.568,2019-03-30
297,Esperance,TT,10.24,-61.45,88,20,2.1,299.26,2019-03-30
298,Mayo Road,CA,60.91,-135.22,74,40,1.5,274.15,2019-03-30
299,Wattegama,LK,7.35,80.68,85,24,2.72,300.718,2019-03-30
300,Kaktovik,US,70.13,-143.61,85,90,6.7,269.15,2019-03-30
301,Tamanrasset,DZ,22.79,5.53,22,40,2.1,297.15,2019-03-30
302,Okazato,JP,33.1,139.78,100,80,6.87,290.168,2019-03-30
303,Departamento de Oruro,BO,-18.67,-67.5,100,0,3.02,277.668,2019-03-30
304,Tasiilaq,GL,65.61,-37.64,72,68,2.1,265.15,2019-03-30
305,Kaisun,CA,53.03,-132.45,100,1,2.1,277.15,2019-03-30
306,Sorong,ID,-0.86,131.25,100,76,2.12,297.368,2019-03-30
307,Chula,PE,-12.93,-74.21,100,88,1.17,279.018,2019-03-30
308,Sabinov,SK,49.1,21.1,54,0,2.6,285.15,2019-03-30
309,Ulytaū,KZ,48.65,67.0,92,12,3.27,283.468,2019-03-30
310,Guerrero Negro,MX,27.97,-114.04,94,88,5.47,287.418,2019-03-30
311,Panzos,GT,15.4,-89.67,98,8,0.27,289.918,2019-03-30
312,Napak District,UG,2.38,34.17,31,0,5.52,306.818,2019-03-30
313,Selcuk,TR,37.95,27.37,32,0,11.8,285.15,2019-03-30
314,Mangistauskaya Oblast’,KZ,44.0,54.0,100,92,5.32,276.668,2019-03-30
315,Camp,CI,8.12,-6.31,68,48,2.17,301.518,2019-03-30
316,Green Head,AU,-30.07,114.97,30,44,2.42,305.318,2019-03-30
317,Municipio de Champerico,GT,14.3,-91.92,89,76,0.92,298.318,2019-03-30
318,Tỉnh Quảng Ninh,VN,21.25,107.33,85,48,3.32,297.368,2019-03-30
319,Koygorodok,RU,60.44,51.01,76,88,5.67,276.168,2019-03-30
320,Puerto Williams,CL,-54.93,-67.61,87,75,2.1,279.15,2019-03-30
321,Percut,ID,3.71,98.77,74,40,6.2,304.15,2019-03-30
322,Temaiku Village,KI,1.36,173.16,94,75,0.5,299.15,2019-03-30
323,Chokurdakh,RU,70.62,147.9,82,76,6.17,266.018,2019-03-30
324,Leshukonskoye,RU,64.9,45.76,74,88,4.97,273.218,2019-03-30
325,Shinhigashi,JP,25.85,131.26,97,48,4.27,295.818,2019-03-30
326,Belyy Yar,RU,53.6,91.39,27,0,2.0,284.15,2019-03-30
327,Chañaral,CL,-26.35,-70.62,100,92,1.12,289.918,2019-03-30
328,Région du Moyen-Comoé,CI,6.5,-3.42,80,24,2.72,302.318,2019-03-30
329,Santa Juana,CL,-37.17,-72.94,93,0,4.1,283.15,2019-03-30
330,Houston,US,29.76,-95.37,93,75,2.6,292.59,2019-03-30
331,Myitkyina,MM,25.38,97.4,40,12,1.32,303.768,2019-03-30
332,Anloga,GH,5.79,0.9,88,20,3.6,301.15,2019-03-30
333,Gobolka Mudug,SO,7.0,48.0,48,0,4.77,305.068,2019-03-30
334,Seydi,NE,13.34,7.75,16,0,3.1,299.15,2019-03-30
335,Schefferville,CA,54.8,-66.83,84,40,5.1,255.15,2019-03-30
336,Gamvik,NO,71.06,28.25,100,88,10.02,273.818,2019-03-30
337,Renews-Cappahayden,CA,46.92,-52.95,89,90,2.1,275.15,2019-03-30
338,Peleduy,RU,59.63,112.75,68,80,1.77,272.718,2019-03-30
339,Pangnirtung,CA,66.15,-65.72,67,90,9.8,266.15,2019-03-30
340,Provideniya,RU,64.42,-173.23,93,92,9.37,273.918,2019-03-30
341,Davison County,US,43.67,-98.18,74,20,7.7,274.15,2019-03-30
342,Vouzon,FR,47.64,2.06,53,0,2.6,285.37,2019-03-30
343,Lodwar,KE,3.12,35.6,40,0,5.12,307.118,2019-03-30
344,Emlagh,IE,53.55,-10.13,88,92,0.45,283.15,2019-03-30
345,Khuzdar,PK,27.8,66.62,25,0,1.82,298.918,2019-03-30
